year,county,office,district,candidate,party,votes
2022,CARROLL,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,6261.000000
2022,CARROLL,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,135.000000
2022,CARROLL,GOVERNOR,,WRITE IN,,2.000000
2022,CARROLL,SECRETARY OF STATE,,JOEL MILLER,DEM,1926.000000
2022,CARROLL,SECRETARY OF STATE,,PAUL D PATE,REP,6060.000000
2022,CARROLL,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,CARROLL,U S SENATE,,CHUCK GRASSLEY,REP,5773.000000
2022,CARROLL,U S SENATE,,MICHAEL FRANKEN,DEM,2327.000000
2022,CARROLL,U S SENATE,,WRITE IN,,10.000000
2022,CASS,ATTORNEY GENERAL,,BRENNA BIRD,REP,3498.000000
2022,CASS,ATTORNEY GENERAL,,TOM MILLER,DEM,1635.000000
2022,CASS,ATTORNEY GENERAL,,WRITE IN,,5.000000
2022,CASS,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1299.000000
2022,CASS,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3864.000000
2022,CASS,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,109.000000
2022,CASS,GOVERNOR,,WRITE IN,,0.000000
2022,CASS,SECRETARY OF STATE,,JOEL MILLER,DEM,1365.000000
2022,CASS,SECRETARY OF STATE,,PAUL D PATE,REP,3789.000000
2022,CASS,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,CASS,U S SENATE,,CHUCK GRASSLEY,REP,3698.000000
2022,CASS,U S SENATE,,MICHAEL FRANKEN,DEM,1502.000000
2022,CASS,U S SENATE,,WRITE IN,,9.000000
2022,CEDAR,ATTORNEY GENERAL,,BRENNA BIRD,REP,4495.000000
2022,CEDAR,ATTORNEY GENERAL,,TOM MILLER,DEM,3326.000000
2022,CEDAR,ATTORNEY GENERAL,,WRITE IN,,1.000000
2022,CEDAR,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2734.000000
2022,CEDAR,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,4996.000000
2022,CEDAR,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,206.000000
2022,CEDAR,GOVERNOR,,WRITE IN,,2.000000
2022,CEDAR,SECRETARY OF STATE,,JOEL MILLER,DEM,2658.000000
2022,CEDAR,SECRETARY OF STATE,,PAUL D PATE,REP,5180.000000
2022,CEDAR,SECRETARY OF STATE,,WRITE IN,,0.000000
2022,CEDAR,U S SENATE,,CHUCK GRASSLEY,REP,4806.000000
2022,CEDAR,U S SENATE,,MICHAEL FRANKEN,DEM,3106.000000
2022,CEDAR,U S SENATE,,WRITE IN,,5.000000
2022,CERRO GORDO,ATTORNEY GENERAL,,BRENNA BIRD,REP,8583.000000
2022,CERRO GORDO,ATTORNEY GENERAL,,TOM MILLER,DEM,8101.000000
2022,CERRO GORDO,ATTORNEY GENERAL,,WRITE IN,,10.000000
2022,CERRO GORDO,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,7096.000000
2022,CERRO GORDO,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,9607.000000
2022,CERRO GORDO,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,389.000000
2022,CERRO GORDO,GOVERNOR,,WRITE IN,,5.000000
2022,CERRO GORDO,SECRETARY OF STATE,,JOEL MILLER,DEM,7023.000000
2022,CERRO GORDO,SECRETARY OF STATE,,PAUL D PATE,REP,9736.000000
2022,CERRO GORDO,SECRETARY OF STATE,,WRITE IN,,7.000000
2022,CERRO GORDO,U S SENATE,,CHUCK GRASSLEY,REP,9260.000000
2022,CERRO GORDO,U S SENATE,,MICHAEL FRANKEN,DEM,7644.000000
2022,CERRO GORDO,U S SENATE,,WRITE IN,,23.000000
2022,CHEROKEE,ATTORNEY GENERAL,,BRENNA BIRD,REP,2906.000000
2022,CHEROKEE,ATTORNEY GENERAL,,TOM MILLER,DEM,1553.000000
2022,CHEROKEE,ATTORNEY GENERAL,,WRITE IN,,2.000000
2022,CHEROKEE,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,911.000000
2022,CHEROKEE,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3579.000000
2022,CHEROKEE,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,87.000000
2022,CHEROKEE,GOVERNOR,,WRITE IN,,0.000000
2022,CHEROKEE,SECRETARY OF STATE,,JOEL MILLER,DEM,970.000000
2022,CHEROKEE,SECRETARY OF STATE,,PAUL D PATE,REP,3488.000000
2022,CHEROKEE,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,CHEROKEE,U S SENATE,,CHUCK GRASSLEY,REP,3338.000000
2022,CHEROKEE,U S SENATE,,MICHAEL FRANKEN,DEM,1159.000000
2022,CHEROKEE,U S SENATE,,WRITE IN,,3.000000
2022,CHICKASAW,ATTORNEY GENERAL,,BRENNA BIRD,REP,2728.000000
2022,CHICKASAW,ATTORNEY GENERAL,,TOM MILLER,DEM,2155.000000
2022,CHICKASAW,ATTORNEY GENERAL,,WRITE IN,,3.000000
2022,CHICKASAW,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1292.000000
2022,CHICKASAW,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3570.000000
2022,CHICKASAW,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,76.000000
2022,CHICKASAW,GOVERNOR,,WRITE IN,,1.000000
2022,CHICKASAW,SECRETARY OF STATE,,JOEL MILLER,DEM,1389.000000
