year,vtd_id,office,district,candidate,party,votes
2000,19009009013,PRESIDENT,,,REP,0.000000
2000,19009009013,PRESIDENT,,,SC,0.000000
2000,19009009014,PRESIDENT,,,DEM,0.000005
2000,19009009014,PRESIDENT,,,GREEN,0.000000
2000,19009009014,PRESIDENT,,,REP,0.000007
2000,19009009014,PRESIDENT,,,SC,0.000000
2000,19011011001,PRESIDENT,,,DEM,59.907507
2000,19011011001,PRESIDENT,,,GREEN,3.744219
2000,19011011001,PRESIDENT,,,REP,71.889008
2000,19011011001,PRESIDENT,,,SC,0.000000
2000,19011011002,PRESIDENT,,,DEM,100.028274
2000,19011011002,PRESIDENT,,,GREEN,6.251767
2000,19011011002,PRESIDENT,,,REP,120.033929
2000,19011011002,PRESIDENT,,,SC,0.000000
2000,19011011003,PRESIDENT,,,DEM,0.064199
2000,19011011003,PRESIDENT,,,GREEN,0.004012
2000,19011011003,PRESIDENT,,,REP,0.077032
2000,19011011003,PRESIDENT,,,SC,0.000000
2000,19011011004,PRESIDENT,,,DEM,420.744640
2000,19011011004,PRESIDENT,,,GREEN,11.002914
2000,19011011004,PRESIDENT,,,REP,255.015970
2000,19011011004,PRESIDENT,,,SC,9.995566
2000,19011011005,PRESIDENT,,,DEM,149.051809
2000,19011011005,PRESIDENT,,,GREEN,8.346936
2000,19011011005,PRESIDENT,,,REP,143.276069
2000,19011011005,PRESIDENT,,,SC,4.343116
2000,19011011006,PRESIDENT,,,DEM,860.987612
2000,19011011006,PRESIDENT,,,GREEN,33.003190
2000,19011011006,PRESIDENT,,,REP,870.977153
2000,19011011006,PRESIDENT,,,SC,22.000427
2000,19011011007,PRESIDENT,,,DEM,0.000000
2000,19011011007,PRESIDENT,,,GREEN,0.000000
2000,19011011007,PRESIDENT,,,REP,0.000000
2000,19011011007,PRESIDENT,,,SC,0.000000
2000,19011011008,PRESIDENT,,,DEM,0.000000
2000,19011011008,PRESIDENT,,,GREEN,0.000000
2000,19011011008,PRESIDENT,,,REP,0.000000
2000,19011011008,PRESIDENT,,,SC,0.000000
2000,19011011009,PRESIDENT,,,DEM,0.000000
2000,19011011009,PRESIDENT,,,GREEN,0.000000
2000,19011011009,PRESIDENT,,,REP,0.000000
2000,19011011009,PRESIDENT,,,SC,0.000000
2000,19011011010,PRESIDENT,,,DEM,46.712887
2000,19011011010,PRESIDENT,,,GREEN,1.313214
2000,19011011010,PRESIDENT,,,REP,54.216966
2000,19011011010,PRESIDENT,,,SC,0.375204
2000,19011011011,PRESIDENT,,,DEM,0.000000
2000,19011011011,PRESIDENT,,,GREEN,0.000000
2000,19011011011,PRESIDENT,,,REP,0.000000
2000,19011011011,PRESIDENT,,,SC,0.000000
2000,19011011012,PRESIDENT,,,DEM,296.174654
2000,19011011012,PRESIDENT,,,GREEN,16.601606
2000,19011011012,PRESIDENT,,,REP,284.884730
2000,19011011012,PRESIDENT,,,SC,8.632823
2000,19011011013,PRESIDENT,,,DEM,353.000169
2000,19011011013,PRESIDENT,,,GREEN,12.000004
2000,19011011013,PRESIDENT,,,REP,361.000112
2000,19011011013,PRESIDENT,,,SC,10.999999
2000,19011011014,PRESIDENT,,,DEM,0.000000
2000,19011011014,PRESIDENT,,,GREEN,0.000000
2000,19011011014,PRESIDENT,,,REP,0.000000
2000,19011011014,PRESIDENT,,,SC,0.000000
2000,19011011015,PRESIDENT,,,DEM,202.280707
2000,19011011015,PRESIDENT,,,GREEN,5.686606
2000,19011011015,PRESIDENT,,,REP,234.775600
2000,19011011015,PRESIDENT,,,SC,1.624745
2000,19011011016,PRESIDENT,,,DEM,214.999994
2000,19011011016,PRESIDENT,,,GREEN,6.000000
2000,19011011016,PRESIDENT,,,REP,194.999995
2000,19011011016,PRESIDENT,,,SC,4.000000
2000,19011011017,PRESIDENT,,,DEM,11.453194
2000,19011011017,PRESIDENT,,,GREEN,0.294180
2000,19011011017,PRESIDENT,,,REP,7.923176
2000,19011011017,PRESIDENT,,,SC,0.156891
2000,19011011018,PRESIDENT,,,DEM,572.546952
2000,19011011018,PRESIDENT,,,GREEN,14.705829
2000,19011011018,PRESIDENT,,,REP,396.077002
2000,19011011018,PRESIDENT,,,SC,7.843109
2000,19011011019,PRESIDENT,,,DEM,0.006407
2000,19011011019,PRESIDENT,,,GREEN,0.000180
2000,19011011019,PRESIDENT,,,REP,0.007438
2000,19011011019,PRESIDENT,,,SC,0.000052
2000,19011011020,PRESIDENT,,,DEM,0.000000
2000,19011011020,PRESIDENT,,,GREEN,0.000000
2000,19011011020,PRESIDENT,,,REP,0.000000
2000,19011011020,PRESIDENT,,,SC,0.000000
2000,19011011021,PRESIDENT,,,DEM,0.000005
2000,19011011021,PRESIDENT,,,GREEN,0.000000
2000,19011011021,PRESIDENT,,,REP,0.000010
2000,19011011021,PRESIDENT,,,SC,0.000000
2000,19011011022,PRESIDENT,,,DEM,80.386453
2000,19011011022,PRESIDENT,,,GREEN,2.097089
2000,19011011022,PRESIDENT,,,REP,62.561859
2000,19011011022,PRESIDENT,,,SC,0.349502
2000,19011011023,PRESIDENT,,,DEM,149.617836
2000,19011011023,PRESIDENT,,,GREEN,3.903159
2000,19011011023,PRESIDENT,,,REP,116.442089
2000,19011011023,PRESIDENT,,,SC,0.650506
2000,19013013001,PRESIDENT,,,DEM,158.695371
2000,19013013001,PRESIDENT,,,GREEN,12.974604
2000,19013013001,PRESIDENT,,,REP,253.507079
2000,19013013001,PRESIDENT,,,SC,3.992215
2000,19013013002,PRESIDENT,,,DEM,4.021116
2000,19013013002,PRESIDENT,,,GREEN,0.162431
2000,19013013002,PRESIDENT,,,REP,4.286220
2000,19013013002,PRESIDENT,,,SC,0.060015
2000,19013013003,PRESIDENT,,,DEM,0.003809
2000,19013013003,PRESIDENT,,,GREEN,0.000154
2000,19013013003,PRESIDENT,,,REP,0.004059
2000,19013013003,PRESIDENT,,,SC,0.000057
2000,19013013004,PRESIDENT,,,DEM,202.787383
2000,19013013004,PRESIDENT,,,GREEN,7.837197
2000,19013013004,PRESIDENT,,,REP,211.604265
2000,19013013004,PRESIDENT,,,SC,2.938948
2000,19013013005,PRESIDENT,,,DEM,98.000000
2000,19013013005,PRESIDENT,,,GREEN,4.000000
2000,19013013005,PRESIDENT,,,REP,126.000000
2000,19013013005,PRESIDENT,,,SC,0.000000
2000,19013013006,PRESIDENT,,,DEM,33.535362
