source_vtd,target_plan2_district,share,chamber,chain
19015015020,23,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015020,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015021,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015022,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015023,23,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015023,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015024,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015025,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015026,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015027,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017001,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017002,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017003,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017004,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017005,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017005,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19017017006,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017006,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19017017007,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017007,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19017017008,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017009,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017010,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017011,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017012,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017013,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017014,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017015,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017016,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017017,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017018,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017018,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19017017019,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19017017019,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19019019001,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019002,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019003,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019004,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019005,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019006,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019007,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019008,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019009,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019010,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019011,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019012,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019013,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019014,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019015,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019016,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019017,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019018,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019019,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019019,42,0.000000000000,senate,vtd20_to_block20_to_plan2
19019019020,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019020,42,0.000000000000,senate,vtd20_to_block20_to_plan2
19019019021,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019022,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19019019022,42,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021001,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021002,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021003,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021004,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021005,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021006,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021006,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021007,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021007,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021008,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021009,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021010,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021011,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021012,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021013,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021014,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021014,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021015,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021015,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021016,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021016,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021017,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021017,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19021021018,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021019,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021020,3,1.000000000000,senate,vtd20_to_block20_to_plan2
19021021020,4,0.000000000000,senate,vtd20_to_block20_to_plan2
19023023001,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023002,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023003,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023004,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023005,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023006,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023007,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023008,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023009,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023010,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023011,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023012,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023013,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023014,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023015,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023016,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023017,27,0.000000000000,senate,vtd20_to_block20_to_plan2
19023023017,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023018,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023019,27,0.000000000000,senate,vtd20_to_block20_to_plan2
19023023019,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023020,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19023023021,29,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025001,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025002,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025003,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025004,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025005,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025006,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025007,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025008,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025009,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025010,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025011,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025012,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025013,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025014,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025015,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025016,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025017,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025018,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025019,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025020,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025021,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025022,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025023,4,1.000000000000,senate,vtd20_to_block20_to_plan2
19025025023,6,0.000000000000,senate,vtd20_to_block20_to_plan2
19027027001,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027002,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027003,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027004,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027005,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027006,24,0.000000000000,senate,vtd20_to_block20_to_plan2
19027027006,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027007,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027008,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027009,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027010,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027011,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027012,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027013,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027014,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027015,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027016,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027017,24,0.000000000000,senate,vtd20_to_block20_to_plan2
19027027017,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027018,24,0.000000000000,senate,vtd20_to_block20_to_plan2
19027027018,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027019,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027020,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027021,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19027027022,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029001,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029002,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029003,6,0.000000000000,senate,vtd20_to_block20_to_plan2
19029029003,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029004,12,0.000000000000,senate,vtd20_to_block20_to_plan2
19029029004,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029005,12,0.000000000000,senate,vtd20_to_block20_to_plan2
19029029005,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029006,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029007,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029008,9,1.000000000000,senate,vtd20_to_block20_to_plan2
19029029009,9,1.000000000000,senate,vtd20_to_block20_to_plan2
