year,plan2_district,office,district,candidate,party,votes
2016,20,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,154.808287
2016,20,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,22.209499
2016,20,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.085545
2016,20,PRESIDENT,,WRITE IN,OTH,321.708652
2016,20,U S SENATE,,CHARLES ALDRICH,LIB,775.129983
2016,20,U S SENATE,,CHARLES E GRASSLEY,REP,13772.647166
2016,20,U S SENATE,,JIM HENNAGER,OTH,262.048332
2016,20,U S SENATE,,MICHAEL LUICK THRAMS,OTH,69.181181
2016,20,U S SENATE,,PATTY JUDGE,DEM,9046.224380
2016,20,U S SENATE,,WRITE IN,OTH,21.061932
2016,21,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.001371
2016,21,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,73.345539
2016,21,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8832.798267
2016,21,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,305.598656
2016,21,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,952.151343
2016,21,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.011924
2016,21,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,7759.758539
2016,21,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,114.020115
2016,21,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,18.957909
2016,21,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.916409
2016,21,PRESIDENT,,WRITE IN,OTH,240.429656
2016,21,U S SENATE,,CHARLES ALDRICH,LIB,502.691033
2016,21,U S SENATE,,CHARLES E GRASSLEY,REP,11105.449785
2016,21,U S SENATE,,JIM HENNAGER,OTH,180.586432
2016,21,U S SENATE,,MICHAEL LUICK THRAMS,OTH,51.476632
2016,21,U S SENATE,,PATTY JUDGE,DEM,6235.381432
2016,21,U S SENATE,,WRITE IN,OTH,17.089228
2016,22,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.082800
2016,22,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,91.264583
2016,22,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,15042.074375
2016,22,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,328.993309
2016,22,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1441.376805
2016,22,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.985740
2016,22,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,15617.779562
2016,22,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,177.596599
2016,22,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,24.001200
2016,22,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.050875
2016,22,PRESIDENT,,WRITE IN,OTH,430.108835
2016,22,U S SENATE,,CHARLES ALDRICH,LIB,810.131364
2016,22,U S SENATE,,CHARLES E GRASSLEY,REP,19198.493083
2016,22,U S SENATE,,JIM HENNAGER,OTH,219.242980
2016,22,U S SENATE,,MICHAEL LUICK THRAMS,OTH,80.037421
2016,22,U S SENATE,,PATTY JUDGE,DEM,12516.037124
2016,22,U S SENATE,,WRITE IN,OTH,45.129458
2016,23,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,24.017772
2016,23,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,111.322735
2016,23,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,16087.057943
2016,23,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,331.894691
2016,23,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1327.659003
2016,23,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.006218
2016,23,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10451.590168
2016,23,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,120.818431
2016,23,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,24.840856
2016,23,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.954382
2016,23,PRESIDENT,,WRITE IN,OTH,338.122150
2016,23,U S SENATE,,CHARLES ALDRICH,LIB,782.675886
2016,23,U S SENATE,,CHARLES E GRASSLEY,REP,19088.630398
2016,23,U S SENATE,,JIM HENNAGER,OTH,243.261634
2016,23,U S SENATE,,MICHAEL LUICK THRAMS,OTH,86.411716
2016,23,U S SENATE,,PATTY JUDGE,DEM,8262.940021
2016,23,U S SENATE,,WRITE IN,OTH,33.784243
2016,24,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,45.001014
2016,24,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,121.887429
2016,24,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,16643.728363
2016,24,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,301.833742
2016,24,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1380.564424
2016,24,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.010445
2016,24,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,11827.680603
2016,24,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,194.566721
2016,24,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,38.034028
2016,24,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.998481
2016,24,PRESIDENT,,WRITE IN,OTH,334.201157
2016,24,U S SENATE,,CHARLES ALDRICH,LIB,1037.029186
2016,24,U S SENATE,,CHARLES E GRASSLEY,REP,19137.486474
2016,24,U S SENATE,,JIM HENNAGER,OTH,332.716897
2016,24,U S SENATE,,MICHAEL LUICK THRAMS,OTH,93.059246
2016,24,U S SENATE,,PATTY JUDGE,DEM,9898.969683
2016,24,U S SENATE,,WRITE IN,OTH,30.083841
2016,25,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,11.010204
2016,25,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,69.142062
2016,25,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,9855.082449
2016,25,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,723.452456
2016,25,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1854.073486
2016,25,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,8.999681
2016,25,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,18180.219519
2016,25,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,371.745776
2016,25,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,36.978147
2016,25,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.001550
2016,25,PRESIDENT,,WRITE IN,OTH,455.081049
2016,25,U S SENATE,,CHARLES ALDRICH,LIB,1011.037820
2016,25,U S SENATE,,CHARLES E GRASSLEY,REP,13833.407426
2016,25,U S SENATE,,JIM HENNAGER,OTH,259.170197
2016,25,U S SENATE,,MICHAEL LUICK THRAMS,OTH,143.455312
2016,25,U S SENATE,,PATTY JUDGE,DEM,15181.596553
2016,25,U S SENATE,,WRITE IN,OTH,39.935754
2016,26,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,15.989811
2016,26,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,62.976592
2016,26,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,10033.484344
2016,26,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,225.717785
2016,26,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,937.403915
2016,26,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.989872
2016,26,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,6455.414749
2016,26,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,99.694734
2016,26,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,28.989787
2016,26,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.999969
2016,26,PRESIDENT,,WRITE IN,OTH,223.731244
2016,26,U S SENATE,,CHARLES ALDRICH,LIB,587.968158
2016,26,U S SENATE,,CHARLES E GRASSLEY,REP,11502.479380
2016,26,U S SENATE,,JIM HENNAGER,OTH,189.117514
2016,26,U S SENATE,,MICHAEL LUICK THRAMS,OTH,39.488581
2016,26,U S SENATE,,PATTY JUDGE,DEM,5545.692924
2016,26,U S SENATE,,WRITE IN,OTH,11.979816
2016,27,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,65.556464
2016,27,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,130.318805
2016,27,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,18840.038978
2016,27,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,208.655755
2016,27,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1023.687932
2016,27,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,14.027052
2016,27,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,11663.439772
2016,27,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,199.541743
2016,27,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,54.964808
2016,27,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,12.223605
2016,27,PRESIDENT,,WRITE IN,OTH,352.244394
2016,27,U S SENATE,,CHARLES ALDRICH,LIB,770.966768
2016,27,U S SENATE,,CHARLES E GRASSLEY,REP,21340.461580
2016,27,U S SENATE,,JIM HENNAGER,OTH,413.486042
2016,27,U S SENATE,,MICHAEL LUICK THRAMS,OTH,66.276929
2016,27,U S SENATE,,PATTY JUDGE,DEM,9729.833797
2016,27,U S SENATE,,WRITE IN,OTH,25.604149
2016,28,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,20.000253
