year,plan2_district,office,district,candidate,party,votes
2016,19,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,38.479170
2016,19,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,0.317154
2016,19,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1.521784
2016,19,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,19,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,19.339425
2016,19,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,0.139904
2016,19,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.136658
2016,19,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.003061
2016,19,PRESIDENT,,WRITE IN,OTH,0.746563
2016,19,U S SENATE,,CHARLES ALDRICH,LIB,1.349646
2016,19,U S SENATE,,CHARLES E GRASSLEY,REP,41.297771
2016,19,U S SENATE,,JIM HENNAGER,OTH,1.033677
2016,19,U S SENATE,,MICHAEL LUICK THRAMS,OTH,0.089233
2016,19,U S SENATE,,PATTY JUDGE,DEM,15.766008
2016,19,U S SENATE,,WRITE IN,OTH,0.089749
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.000000
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,6.999491
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,530.961418
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,3.999709
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,16.998765
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,145.989392
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,1.999855
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,2,PRESIDENT,,WRITE IN,OTH,7.999419
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,18.998619
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,555.959602
2016,2,U S SENATE,,JIM HENNAGER,OTH,6.999491
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1.999855
2016,2,U S SENATE,,PATTY JUDGE,DEM,119.991281
2016,2,U S SENATE,,WRITE IN,OTH,0.999927
2016,20,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,10.000058
2016,20,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1.000115
2016,20,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,876.019818
2016,20,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,10.000134
2016,20,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,52.000614
2016,20,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,20,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,543.009458
2016,20,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,10.000307
2016,20,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,5.000115
2016,20,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,20,PRESIDENT,,WRITE IN,OTH,17.000269
2016,20,U S SENATE,,CHARLES ALDRICH,LIB,51.001017
2016,20,U S SENATE,,CHARLES E GRASSLEY,REP,884.019876
2016,20,U S SENATE,,JIM HENNAGER,OTH,58.000767
2016,20,U S SENATE,,MICHAEL LUICK THRAMS,OTH,5.000096
2016,20,U S SENATE,,PATTY JUDGE,DEM,460.008230
2016,20,U S SENATE,,WRITE IN,OTH,1.000096
2016,21,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,18.897301
2016,21,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,70.124956
2016,21,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,7918.526040
2016,21,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,101.209092
2016,21,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,707.515294
2016,21,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.999927
2016,21,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,6029.867656
2016,21,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,72.513869
2016,21,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.866689
2016,21,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.916771
2016,21,PRESIDENT,,WRITE IN,OTH,159.939474
2016,21,U S SENATE,,CHARLES ALDRICH,LIB,414.834788
2016,21,U S SENATE,,CHARLES E GRASSLEY,REP,9162.436970
2016,21,U S SENATE,,JIM HENNAGER,OTH,147.182529
2016,21,U S SENATE,,MICHAEL LUICK THRAMS,OTH,45.885277
2016,21,U S SENATE,,PATTY JUDGE,DEM,5054.973931
2016,21,U S SENATE,,WRITE IN,OTH,16.450202
2016,22,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,8.123988
2016,22,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,78.492079
2016,22,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8476.097338
2016,22,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,104.897350
2016,22,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,684.123122
2016,22,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000073
2016,22,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,5699.921700
2016,22,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,69.571281
2016,22,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,11.175899
2016,22,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.083217
2016,22,PRESIDENT,,WRITE IN,OTH,177.252012
2016,22,U S SENATE,,CHARLES ALDRICH,LIB,438.335704
2016,22,U S SENATE,,CHARLES E GRASSLEY,REP,9707.803616
2016,22,U S SENATE,,JIM HENNAGER,OTH,137.009080
2016,22,U S SENATE,,MICHAEL LUICK THRAMS,OTH,48.178556
2016,22,U S SENATE,,PATTY JUDGE,DEM,4767.516925
2016,22,U S SENATE,,WRITE IN,OTH,12.081737
2016,23,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,18.997825
2016,23,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,69.992397
2016,23,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,10371.501950
2016,23,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,127.042759
2016,23,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,636.137951
2016,23,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.999999
2016,23,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,5025.101561
2016,23,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,78.262026
