year,plan2_district,office,district,candidate,party,votes
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,441.062156
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,25058.439121
2016,2,U S SENATE,,JIM HENNAGER,OTH,148.536201
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,37.409793
2016,2,U S SENATE,,PATTY JUDGE,DEM,3521.575496
2016,2,U S SENATE,,WRITE IN,OTH,13.119448
2016,20,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,28.171557
2016,20,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,104.536553
2016,20,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,12869.445640
2016,20,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,241.858307
2016,20,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1221.332344
2016,20,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,8.178127
2016,20,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,12628.809386
2016,20,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,183.325823
2016,20,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,26.433968
2016,20,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.656612
2016,20,PRESIDENT,,WRITE IN,OTH,363.517445
2016,20,U S SENATE,,CHARLES ALDRICH,LIB,884.955244
2016,20,U S SENATE,,CHARLES E GRASSLEY,REP,15172.339802
2016,20,U S SENATE,,JIM HENNAGER,OTH,321.067103
2016,20,U S SENATE,,MICHAEL LUICK THRAMS,OTH,80.856430
2016,20,U S SENATE,,PATTY JUDGE,DEM,10734.456976
2016,20,U S SENATE,,WRITE IN,OTH,27.501817
2016,21,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,15.554891
2016,21,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,109.043385
2016,21,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,14820.739195
2016,21,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,497.452175
2016,21,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1495.193451
2016,21,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.819421
2016,21,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,13083.764706
2016,21,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,176.597428
2016,21,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.904169
2016,21,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.536764
2016,21,PRESIDENT,,WRITE IN,OTH,397.243306
2016,21,U S SENATE,,CHARLES ALDRICH,LIB,828.897445
2016,21,U S SENATE,,CHARLES E GRASSLEY,REP,18597.476360
2016,21,U S SENATE,,JIM HENNAGER,OTH,273.263888
2016,21,U S SENATE,,MICHAEL LUICK THRAMS,OTH,89.434122
2016,21,U S SENATE,,PATTY JUDGE,DEM,10422.408712
2016,21,U S SENATE,,WRITE IN,OTH,28.341429
2016,22,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.395753
2016,22,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,94.618663
2016,22,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,15269.861938
2016,22,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,343.480445
2016,22,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1484.626530
2016,22,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.153300
2016,22,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,16084.564443
2016,22,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,182.601889
2016,22,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,26.517774
2016,22,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.113252
2016,22,PRESIDENT,,WRITE IN,OTH,446.259259
2016,22,U S SENATE,,CHARLES ALDRICH,LIB,835.002804
2016,22,U S SENATE,,CHARLES E GRASSLEY,REP,19504.498834
2016,22,U S SENATE,,JIM HENNAGER,OTH,228.406976
2016,22,U S SENATE,,MICHAEL LUICK THRAMS,OTH,80.515571
2016,22,U S SENATE,,PATTY JUDGE,DEM,12929.792513
2016,22,U S SENATE,,WRITE IN,OTH,47.700982
2016,23,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,24.470486
2016,23,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,109.979383
2016,23,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,16483.481008
2016,23,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,334.091347
