office,district,candidate,party,county,votes,absentee,election_day
U.S. House,3,Write-in,,Polk,768,161,607
U.S. House,3,Lanon Baccam,,Ringgold,678,388,290
U.S. House,3,Zach Nunn,,Ringgold,1914,779,1135
U.S. House,3,Write-in,,Ringgold,11,4,7
U.S. House,3,Lanon Baccam,,Taylor,673,250,423
U.S. House,3,Zach Nunn,,Taylor,2248,750,1498
U.S. House,3,Write-in,,Taylor,8,1,7
U.S. House,3,Lanon Baccam,,Union,1938,1031,907
U.S. House,3,Zach Nunn,,Union,3835,1617,2218
U.S. House,3,Write-in,,Union,23,6,17
U.S. House,3,Lanon Baccam,,Wapello,4993,2593,2400
U.S. House,3,Zach Nunn,,Wapello,9092,3249,5843
U.S. House,3,Write-in,,Wapello,24,7,17
U.S. House,3,Lanon Baccam,,Wayne,713,336,377
U.S. House,3,Zach Nunn,,Wayne,2324,904,1420
U.S. House,3,Write-in,,Wayne,8,1,7
U.S. House,4,Ryan Melton,,Audubon,901,401,500
U.S. House,4,Randy Feenstra,,Audubon,2038,873,1165
U.S. House,4,Write-in,,Audubon,6,4,2
U.S. House,4,Ryan Melton,,Boone,5636,2960,2676
U.S. House,4,Randy Feenstra,,Boone,9004,3710,5294
U.S. House,4,Write-in,,Boone,28,3,25
U.S. House,4,Ryan Melton,,Buena Vista,2209,1106,1103
U.S. House,4,Randy Feenstra,,Buena Vista,4635,1966,2669
U.S. House,4,Write-in,,Buena Vista,26,13,13
U.S. House,4,Ryan Melton,,Calhoun,1244,514,730
U.S. House,4,Randy Feenstra,,Calhoun,3541,1109,2432
U.S. House,4,Write-in,,Calhoun,13,3,10
U.S. House,4,Ryan Melton,,Carroll,2785,1456,1329
U.S. House,4,Randy Feenstra,,Carroll,7610,2824,4786
U.S. House,4,Write-in,,Carroll,15,9,6
U.S. House,4,Ryan Melton,,Cherokee,1436,765,671
U.S. House,4,Randy Feenstra,,Cherokee,4411,1845,2566
U.S. House,4,Write-in,,Cherokee,29,15,14
U.S. House,4,Ryan Melton,,Clay,2253,1240,1013
U.S. House,4,Randy Feenstra,,Clay,5920,2614,3306
U.S. House,4,Write-in,,Clay,41,18,23
U.S. House,4,Ryan Melton,,Crawford,1640,750,890
U.S. House,4,Randy Feenstra,,Crawford,4390,1559,2831
U.S. House,4,Write-in,,Crawford,24,13,11
U.S. House,4,Ryan Melton,,Dickinson,2903,1830,1073
U.S. House,4,Randy Feenstra,,Dickinson,7974,4217,3757
U.S. House,4,Write-in,,Dickinson,35,22,13
U.S. House,4,Ryan Melton,,Emmet,1215,573,642
U.S. House,4,Randy Feenstra,,Emmet,3330,1034,2296
U.S. House,4,Write-in,,Emmet,9,3,6
U.S. House,4,Ryan Melton,,Franklin,1269,517,752
U.S. House,4,Randy Feenstra,,Franklin,3342,1127,2215
U.S. House,4,Write-in,,Franklin,9,1,8
U.S. House,4,Ryan Melton,,Fremont,974,383,591
U.S. House,4,Randy Feenstra,,Fremont,2525,814,1711
U.S. House,4,Write-in,,Fremont,7,2,5
U.S. House,4,Ryan Melton,,Hamilton,2300,1287,1013
U.S. House,4,Randy Feenstra,,Hamilton,4943,1900,3043
U.S. House,4,Write-in,,Hamilton,19,7,12
U.S. House,4,Ryan Melton,,Hancock,1479,622,857
U.S. House,4,Randy Feenstra,,Hancock,4175,1162,3013
U.S. House,4,Write-in,,Hancock,24,9,15
U.S. House,4,Ryan Melton,,Harrison,2180,746,1434
U.S. House,4,Randy Feenstra,,Harrison,5308,1503,3805
U.S. House,4,Write-in,,Harrison,45,10,35
U.S. House,4,Ryan Melton,,Humboldt,1133,557,576
U.S. House,4,Randy Feenstra,,Humboldt,3670,1392,2278
U.S. House,4,Write-in,,Humboldt,13,3,10
U.S. House,4,Ryan Melton,,Ida,760,307,453
U.S. House,4,Randy Feenstra,,Ida,2729,753,1976
U.S. House,4,Write-in,,Ida,13,4,9
U.S. House,4,Ryan Melton,,Kossuth,2196,1110,1086
U.S. House,4,Randy Feenstra,,Kossuth,5906,2025,3881
U.S. House,4,Write-in,,Kossuth,17,2,15
U.S. House,4,Ryan Melton,,Lyon,898,346,552
U.S. House,4,Randy Feenstra,,Lyon,5790,1735,4055
U.S. House,4,Write-in,,Lyon,25,7,18
U.S. House,4,Ryan Melton,,Marshall,6635,3538,3097
U.S. House,4,Randy Feenstra,,Marshall,9629,4282,5347
U.S. House,4,Write-in,,Marshall,26,7,19
U.S. House,4,Ryan Melton,,Mills,2319,1054,1265
U.S. House,4,Randy Feenstra,,Mills,5349,2090,3259
U.S. House,4,Write-in,,Mills,26,10,16
U.S. House,4,Ryan Melton,,Monona,1187,502,685
U.S. House,4,Randy Feenstra,,Monona,3216,933,2283
U.S. House,4,Write-in,,Monona,22,8,14
U.S. House,4,Ryan Melton,,O'Brien,1369,484,885
U.S. House,4,Randy Feenstra,,O'Brien,5747,1409,4338
U.S. House,4,Write-in,,O'Brien,106,28,78
U.S. House,4,Ryan Melton,,Osceola,518,188,330
U.S. House,4,Randy Feenstra,,Osceola,2563,691,1872
U.S. House,4,Write-in,,Osceola,12,3,9
U.S. House,4,Ryan Melton,,Palo Alto,1234,575,659
U.S. House,4,Randy Feenstra,,Palo Alto,3531,1163,2368
U.S. House,4,Write-in,,Palo Alto,6,4,2
U.S. House,4,Ryan Melton,,Plymouth,2810,1312,1498
U.S. House,4,Randy Feenstra,,Plymouth,10373,3961,6412
U.S. House,4,Write-in,,Plymouth,50,21,29
U.S. House,4,Ryan Melton,,Pocahontas,716,309,407
U.S. House,4,Randy Feenstra,,Pocahontas,2668,936,1732
U.S. House,4,Write-in,,Pocahontas,10,3,7
U.S. House,4,Ryan Melton,,Pottawattamie,16263,6753,9510
U.S. House,4,Randy Feenstra,,Pottawattamie,26212,8380,17832
U.S. House,4,Write-in,,Pottawattamie,68,15,53
U.S. House,4,Ryan Melton,,Sac,1196,428,768
U.S. House,4,Randy Feenstra,,Sac,3961,1065,2896
U.S. House,4,Write-in,,Sac,27,10,17
U.S. House,4,Ryan Melton,,Shelby,1569,806,763
U.S. House,4,Randy Feenstra,,Shelby,4413,1972,2441
U.S. House,4,Write-in,,Shelby,11,1,10
U.S. House,4,Ryan Melton,,Sioux,2241,787,1454
U.S. House,4,Randy Feenstra,,Sioux,16164,4599,11565
U.S. House,4,Write-in,,Sioux,80,28,52
U.S. House,4,Ryan Melton,,Story,25233,11196,14037
U.S. House,4,Randy Feenstra,,Story,21706,6176,15530
U.S. House,4,Write-in,,Story,108,29,79
U.S. House,4,Ryan Melton,,Webster,5082,2469,2613
U.S. House,4,Randy Feenstra,,Webster,10822,3842,6980
U.S. House,4,Write-in,,Webster,34,13,21
U.S. House,4,Ryan Melton,,Winnebago,1859,714,1145
U.S. House,4,Randy Feenstra,,Winnebago,3572,957,2615
U.S. House,4,Write-in,,Winnebago,12,2,10
U.S. House,4,Ryan Melton,,Woodbury,14928,8586,6342
U.S. House,4,Randy Feenstra,,Woodbury,25639,11361,14278
U.S. House,4,Write-in,,Woodbury,112,41,71
U.S. House,4,Ryan Melton,,Wright,1605,625,980
U.S. House,4,Randy Feenstra,,Wright,3716,1352,2364
U.S. House,4,Write-in,,Wright,19,6,13
State Senate,2,Jeff Taylor,,Lyon,5636,1672,3964
State Senate,2,Write-in,,Lyon,35,11,24
State Senate,2,Jeff Taylor,,Plymouth,6079,2473,3606
State Senate,2,Write-in,,Plymouth,68,23,45
State Senate,2,Jeff Taylor,,Sioux,15723,4453,11270
State Senate,2,Write-in,,Sioux,142,42,100
State Senate,4,Tim Kraayenbrink,,Calhoun,4007,1255,2752
State Senate,4,Write-in,,Calhoun,56,18,38
State Senate,4,Tim Kraayenbrink,,Pocahontas,2857,989,1868
State Senate,4,Write-in,,Pocahontas,31,9,22
State Senate,4,Tim Kraayenbrink,,Sac,4226,1102,3124
State Senate,4,Write-in,,Sac,49,12,37
State Senate,4,Tim Kraayenbrink,,Webster,12637,4513,8124
State Senate,4,Write-in,,Webster,395,185,210
State Senate,6,Jason Schultz,,Audubon,2101,879,1222
State Senate,6,David M. Davis,,Audubon,546,228,318
State Senate,6,Write-in,,Audubon,2,2,0
State Senate,6,Jason Schultz,,Carroll,7803,2950,4853
State Senate,6,David M. Davis,,Carroll,1798,840,958
State Senate,6,Write-in,,Carroll,28,11,17
State Senate,6,Jason Schultz,,Crawford,4933,1785,3148
State Senate,6,David M. Davis,,Crawford,1089,491,598
State Senate,6,Write-in,,Crawford,27,15,12
State Senate,6,Jason Schultz,,Ida,2904,841,2063
State Senate,6,David M. Davis,,Ida,510,183,327
State Senate,6,Write-in,,Ida,11,0,11
State Senate,6,Jason Schultz,,Pottawattamie,774,115,659
State Senate,6,David M. Davis,,Pottawattamie,252,52,200
State Senate,6,Write-in,,Pottawattamie,2,0,2
State Senate,6,Jason Schultz,,Shelby,4593,2065,2528
State Senate,6,David M. Davis,,Shelby,1142,557,585
State Senate,6,Write-in,,Shelby,20,12,8
State Senate,8,Ryan Lee Roenfeld,,Fremont,956,386,570
State Senate,8,Mark Costello,,Fremont,2592,839,1753
State Senate,8,Write-in,,Fremont,6,0,6
State Senate,8,Ryan Lee Roenfeld,,Harrison,2123,755,1368
State Senate,8,Mark Costello,,Harrison,5238,1443,3795
State Senate,8,Write-in,,Harrison,29,10,19
State Senate,8,Ryan Lee Roenfeld,,Mills,2388,1073,1315
State Senate,8,Mark Costello,,Mills,5326,2092,3234
State Senate,8,Write-in,,Mills,21,5,16
State Senate,8,Ryan Lee Roenfeld,,Pottawattamie,4965,1994,2971
State Senate,8,Mark Costello,,Pottawattamie,11913,3559,8354
State Senate,8,Write-in,,Pottawattamie,17,6,11
State Senate,10,Steve Gorman,,Pottawattamie,10842,4642,6200
State Senate,10,Dan Dawson,,Pottawattamie,13840,4782,9058
State Senate,10,Write-in,,Pottawattamie,27,11,16
State Senate,12,Nicole Loew,,Adair,1063,488,575
State Senate,12,Amy Sinclair,,Adair,2777,971,1806
State Senate,12,Write-in,,Adair,0,0,0
State Senate,12,Nicole Loew,,Appanoose,95,49,46
State Senate,12,Amy Sinclair,,Appanoose,330,121,209
State Senate,12,Write-in,,Appanoose,0,0,0
State Senate,12,Nicole Loew,,Clarke,1294,681,613
State Senate,12,Amy Sinclair,,Clarke,3046,1052,1994
State Senate,12,Write-in,,Clarke,6,1,5
State Senate,12,Nicole Loew,,Dallas,859,357,502
State Senate,12,Amy Sinclair,,Dallas,1973,521,1452
State Senate,12,Write-in,,Dallas,3,0,3
State Senate,12,Nicole Loew,,Decatur,1013,407,606
State Senate,12,Amy Sinclair,,Decatur,2553,900,1653
State Senate,12,Write-in,,Decatur,4,0,4
State Senate,12,Nicole Loew,,Lucas,1366,695,671
State Senate,12,Amy Sinclair,,Lucas,3103,1386,1717
State Senate,12,Write-in,,Lucas,0,0,0
State Senate,12,Nicole Loew,,Madison,2892,1503,1389
State Senate,12,Amy Sinclair,,Madison,6610,2516,4094
State Senate,12,Write-in,,Madison,22,5,17
State Senate,12,Nicole Loew,,Union,179,101,78
State Senate,12,Amy Sinclair,,Union,541,190,351
State Senate,12,Write-in,,Union,2,0,2
State Senate,12,Nicole Loew,,Wayne,921,390,531
State Senate,12,Amy Sinclair,,Wayne,2142,856,1286
State Senate,12,Write-in,,Wayne,6,1,5
State Senate,14,Sarah Trone Garriott,,Dallas,20467,9911,10556
State Senate,14,Mark A. Hanson,,Dallas,20438,7855,12583
State Senate,14,Write-in,,Dallas,59,15,44
State Senate,16,Claire Celsi,,Dallas,600,217,383
State Senate,16,Joshua Smith,,Dallas,271,77,194
State Senate,16,Write-in,,Dallas,13,4,9
State Senate,16,Claire Celsi,,Polk,20957,8921,12036
State Senate,16,Joshua Smith,,Polk,8913,2543,6370
State Senate,16,Write-in,,Polk,283,94,189
State Senate,18,Janet Petersen,,Polk,25564,10561,15003
State Senate,18,Write-in,,Polk,766,188,578
State Senate,20,Nate Boulton,,Polk,15600,6052,9548
State Senate,20,Mike Pike,,Polk,15644,3888,11756
State Senate,20,Write-in,,Polk,66,16,50
State Senate,22,Matt Blake,,Polk,19128,9025,10103
State Senate,22,Brad Zaun,,Polk,17336,5865,11471
State Senate,22,Write-in,,Polk,64,9,55
State Senate,24,Margaret Liston,,Boone,5558,2935,2623
State Senate,24,Jesse Green,,Boone,9175,3758,5417
State Senate,24,Write-in,,Boone,23,8,15
State Senate,24,Margaret Liston,,Dallas,2250,810,1440
State Senate,24,Jesse Green,,Dallas,2864,706,2158
State Senate,24,Write-in,,Dallas,8,0,8
State Senate,24,Margaret Liston,,Greene,1437,822,615
State Senate,24,Jesse Green,,Greene,3086,1367,1719
State Senate,24,Write-in,,Greene,5,2,3
State Senate,24,Margaret Liston,,Guthrie,1837,867,970
State Senate,24,Jesse Green,,Guthrie,4353,1530,2823
State Senate,24,Write-in,,Guthrie,11,4,7
State Senate,24,Margaret Liston,,Story,1498,629,869
State Senate,24,Jesse Green,,Story,1526,356,1170
State Senate,24,Write-in,,Story,3,0,3
State Senate,26,Mike Wolfe,,Marshall,6866,3622,3244
State Senate,26,Kara Warme,,Marshall,9539,4222,5317
State Senate,26,Write-in,,Marshall,24,9,15
State Senate,26,Mike Wolfe,,Story,5255,2416,2839
State Senate,26,Kara Warme,,Story,8428,2432,5996
State Senate,26,Write-in,,Story,24,2,22
State Senate,28,Cynthia Oppedal Paschen,,Franklin,1284,526,758
State Senate,28,Dennis Guth,,Franklin,3223,1075,2148
State Senate,28,Write-in,,Franklin,4,1,3
State Senate,28,Cynthia Oppedal Paschen,,Hamilton,2415,1314,1101
State Senate,28,Dennis Guth,,Hamilton,4666,1788,2878
State Senate,28,Write-in,,Hamilton,12,1,11
State Senate,28,Cynthia Oppedal Paschen,,Hancock,1445,594,851
State Senate,28,Dennis Guth,,Hancock,4234,1197,3037
State Senate,28,Write-in,,Hancock,10,0,10
State Senate,28,Cynthia Oppedal Paschen,,Humboldt,1148,559,589
State Senate,28,Dennis Guth,,Humboldt,3520,1312,2208
State Senate,28,Write-in,,Humboldt,5,0,5
State Senate,28,Cynthia Oppedal Paschen,,Story,1457,560,897
State Senate,28,Dennis Guth,,Story,1838,463,1375
State Senate,28,Write-in,,Story,8,1,7
State Senate,28,Cynthia Oppedal Paschen,,Wright,1553,620,933
State Senate,28,Dennis Guth,,Wright,3704,1334,2370
State Senate,28,Write-in,,Wright,19,3,16
State Senate,30,Richard Lorence,,Cerro Gordo,9288,4714,4574
State Senate,30,Doug Campbell,,Cerro Gordo,12608,4705,7903
State Senate,30,Write-in,,Cerro Gordo,43,12,31
State Senate,30,Richard Lorence,,Floyd,478,121,357
State Senate,30,Doug Campbell,,Floyd,988,166,822
State Senate,30,Write-in,,Floyd,0,0,0
State Senate,30,Richard Lorence,,Mitchell,1719,910,809
State Senate,30,Doug Campbell,,Mitchell,3826,1294,2532
State Senate,30,Write-in,,Mitchell,9,2,7
State Senate,30,Richard Lorence,,Worth,1277,428,849
State Senate,30,Doug Campbell,,Worth,2850,607,2243
State Senate,30,Write-in,,Worth,6,1,5
State Senate,32,Brian Bruening,,Allamakee,2327,1227,1100
State Senate,32,Mike Klimesh,,Allamakee,4698,1958,2740
State Senate,32,Write-in,,Allamakee,6,2,4
State Senate,32,Brian Bruening,,Clayton,2921,1158,1763
State Senate,32,Mike Klimesh,,Clayton,6120,1597,4523
State Senate,32,Write-in,,Clayton,3,0,3
State Senate,32,Brian Bruening,,Dubuque,128,56,72
State Senate,32,Mike Klimesh,,Dubuque,329,70,259
State Senate,32,Write-in,,Dubuque,2,1,1
State Senate,32,Brian Bruening,,Fayette,317,154,163
State Senate,32,Mike Klimesh,,Fayette,1020,313,707
State Senate,32,Write-in,,Fayette,0,0,0
State Senate,32,Brian Bruening,,Howard,1594,703,891
State Senate,32,Mike Klimesh,,Howard,3077,943,2134
State Senate,32,Write-in,,Howard,3,2,1
State Senate,32,Brian Bruening,,Winneshiek,4793,3412,1381
State Senate,32,Mike Klimesh,,Winneshiek,6853,3701,3152
State Senate,32,Write-in,,Winneshiek,13,9,4
State Senate,34,Joe Hegland,,Black Hawk,1049,478,571
State Senate,34,Dan Zumbach,,Black Hawk,2213,622,1591
State Senate,34,Write-in,,Black Hawk,5,1,4
State Senate,34,Joe Hegland,,Buchanan,3490,1533,1957
State Senate,34,Dan Zumbach,,Buchanan,6781,2148,4633
State Senate,34,Write-in,,Buchanan,15,3,12
State Senate,34,Joe Hegland,,Delaware,3020,1234,1786
State Senate,34,Dan Zumbach,,Delaware,6908,2185,4723
State Senate,34,Write-in,,Delaware,8,2,6
State Senate,34,Joe Hegland,,Dubuque,450,165,285
State Senate,34,Dan Zumbach,,Dubuque,821,184,637
State Senate,34,Write-in,,Dubuque,1,0,1
State Senate,34,Joe Hegland,,Fayette,2928,1138,1790
State Senate,34,Dan Zumbach,,Fayette,5239,1428,3811
State Senate,34,Write-in,,Fayette,7,1,6
State Senate,36,Thomas Townsend,,Dubuque,15274,8703,6571
State Senate,36,Nicholas Molo,,Dubuque,14958,6196,8762
State Senate,36,Write-in,,Dubuque,43,8,35
State Senate,38,Eric Giddens,,Benton,141,53,88
State Senate,38,Dave Sires,,Benton,434,110,324
State Senate,38,Write-in,,Benton,4,3,1
State Senate,38,Eric Giddens,,Black Hawk,15927,6884,9043
State Senate,38,Dave Sires,,Black Hawk,15303,5158,10145
State Senate,38,Write-in,,Black Hawk,31,12,19
State Senate,38,Eric Giddens,,Tama,778,201,577
State Senate,38,Dave Sires,,Tama,1495,321,1174
State Senate,38,Write-in,,Tama,3,1,2
State Senate,40,Art Staed,,Linn,18157,9062,9095
State Senate,40,Kris G Gulick,,Linn,14763,5584,9179
State Senate,40,Write-in,,Linn,30,5,25
State Senate,42,Charlie McClintock,,Benton,10900,2794,8106
State Senate,42,Write-in,,Benton,170,49,121
State Senate,42,Charlie McClintock,,Linn,16826,4417,12409
State Senate,42,Write-in,,Linn,622,260,362
State Senate,44,Adrian Dickey,,Henry,2956,1796,1160
State Senate,44,Lisa Ossian,,Henry,1341,926,415
State Senate,44,Write-in,,Henry,17,5,12
State Senate,44,Adrian Dickey,,Jefferson,4155,1779,2376
State Senate,44,Lisa Ossian,,Jefferson,3552,2505,1047
State Senate,44,Write-in,,Jefferson,25,11,14
State Senate,44,Adrian Dickey,,Keokuk,3389,971,2418
State Senate,44,Lisa Ossian,,Keokuk,1221,454,767
State Senate,44,Write-in,,Keokuk,6,2,4
State Senate,44,Adrian Dickey,,Mahaska,5965,2360,3605
State Senate,44,Lisa Ossian,,Mahaska,2023,978,1045
State Senate,44,Write-in,,Mahaska,27,8,19
State Senate,44,Adrian Dickey,,Van Buren,2742,794,1948
State Senate,44,Lisa Ossian,,Van Buren,689,277,412
State Senate,44,Write-in,,Van Buren,6,2,4
State Senate,46,Ed Chabal,,Iowa,2830,1433,1397
State Senate,46,Dawn Driscoll,,Iowa,6554,2308,4246
State Senate,46,Write-in,,Iowa,8,1,7
State Senate,46,Ed Chabal,,Johnson,6897,3472,3425
State Senate,46,Dawn Driscoll,,Johnson,7614,2258,5356
State Senate,46,Write-in,,Johnson,14,4,10
State Senate,46,Ed Chabal,,Washington,4042,2277,1765
State Senate,46,Dawn Driscoll,,Washington,7131,3185,3946
State Senate,46,Write-in,,Washington,16,2,14
State Senate,48,John Dabeet,,Des Moines,1192,657,535
State Senate,48,Mark S. Lofgren,,Des Moines,3390,1292,2098
State Senate,48,Write-in,,Des Moines,17,7,10
State Senate,48,John Dabeet,,Henry,1115,618,497
State Senate,48,Mark S. Lofgren,,Henry,3167,1360,1807
State Senate,48,Write-in,,Henry,10,1,9
State Senate,48,John Dabeet,,Louisa,1357,680,677
State Senate,48,Mark S. Lofgren,,Louisa,3571,1357,2214
State Senate,48,Write-in,,Louisa,6,4,2
State Senate,48,John Dabeet,,Muscatine,6617,3070,3547
State Senate,48,Mark S. Lofgren,,Muscatine,9627,3524,6103
State Senate,48,Write-in,,Muscatine,12,4,8
State Senate,50,Nannette Griffin,,Des Moines,6140,3352,2788
State Senate,50,Jeff Reichman,,Des Moines,6658,2871,3787
State Senate,50,Write-in,,Des Moines,25,2,23
State Senate,50,Nannette Griffin,,Lee,5729,3221,2508
State Senate,50,Jeff Reichman,,Lee,10077,3983,6094
State Senate,50,Write-in,,Lee,25,12,13
State House,1,J.D. Scholten,,Woodbury,4615,2581,2034
State House,1,Josh Steinhoff,,Woodbury,4017,1870,2147
State House,1,Write-in,,Woodbury,11,4,7
State House,2,Jessica Lopez-Walker,,Woodbury,4613,2801,1812
State House,2,Robert Henderson,,Woodbury,7130,3509,3621
State House,2,Write-in,,Woodbury,18,8,10
State House,3,Emma Bouza,,Plymouth,1593,753,840
State House,3,Thomas Jeneary,,Plymouth,5986,2649,3337
State House,3,Write-in,,Plymouth,16,3,13
State House,3,Emma Bouza,,Sioux,1643,509,1134
State House,3,Thomas Jeneary,,Sioux,6026,1908,4118
State House,3,Write-in,,Sioux,8,2,6
State House,4,Skyler Wheeler,,Lyon,5710,1695,4015
State House,4,Write-in,,Lyon,58,14,44
State House,4,Skyler Wheeler,,Sioux,8582,2259,6323
State House,4,Write-in,,Sioux,214,55,159
State House,5,Zachary M. Dieken,,Buena Vista,852,257,595
State House,5,Michael Schnoes,,Buena Vista,308,97,211
State House,5,Write-in,,Buena Vista,3,1,2
State House,5,Zachary M. Dieken,,Cherokee,2574,1111,1463
State House,5,Michael Schnoes,,Cherokee,1095,570,525
State House,5,Write-in,,Cherokee,7,2,5
State House,5,Zachary M. Dieken,,O'Brien,5261,1284,3977
State House,5,Michael Schnoes,,O'Brien,1357,392,965
State House,5,Write-in,,O'Brien,15,4,11
State House,5,Zachary M. Dieken,,Osceola,2459,656,1803
State House,5,Michael Schnoes,,Osceola,376,123,253
State House,5,Write-in,,Osceola,11,4,7
State House,6,Megan Jones,,Buena Vista,4216,1940,2276
State House,6,Write-in,,Buena Vista,89,43,46
State House,6,Megan Jones,,Clay,5804,2722,3082
State House,6,Write-in,,Clay,145,79,66
State House,7,Mike Sexton,,Calhoun,3670,1166,2504
State House,7,Martin Podraza,,Calhoun,1007,386,621
State House,7,Write-in,,Calhoun,20,6,14
State House,7,Mike Sexton,,Pocahontas,2727,959,1768
State House,7,Martin Podraza,,Pocahontas,464,189,275
State House,7,Write-in,,Pocahontas,9,2,7
State House,7,Mike Sexton,,Sac,4057,1065,2992
State House,7,Martin Podraza,,Sac,642,223,419
State House,7,Write-in,,Sac,30,11,19
State House,7,Mike Sexton,,Webster,2289,572,1717
State House,7,Martin Podraza,,Webster,352,117,235
State House,7,Write-in,,Webster,7,2,5
State House,8,Ann Meyer,,Webster,10459,4073,6386
State House,8,Write-in,,Webster,272,128,144
State House,9,Christian He-Man Schlaerth,,Emmet,1069,508,561
State House,9,Henry Stone,,Emmet,3282,1023,2259
State House,9,Write-in,,Emmet,6,2,4
State House,9,Christian He-Man Schlaerth,,Kossuth,1540,783,757
State House,9,Henry Stone,,Kossuth,4678,1559,3119
State House,9,Write-in,,Kossuth,6,1,5
State House,9,Christian He-Man Schlaerth,,Winnebago,1661,646,1015
State House,9,Henry Stone,,Winnebago,3784,1013,2771
State House,9,Write-in,,Winnebago,9,3,6
State House,10,John H. Wills,,Clay,1024,365,659
State House,10,Write-in,,Clay,7,3,4
State House,10,John H. Wills,,Dickinson,8921,4715,4206
State House,10,Write-in,,Dickinson,185,111,74
State House,10,John H. Wills,,Kossuth,1464,571,893
State House,10,Write-in,,Kossuth,14,7,7
State House,10,John H. Wills,,Palo Alto,3884,1269,2615
State House,10,Write-in,,Palo Alto,45,21,24
State House,11,Jeff Rich,,Audubon,825,380,445
State House,11,Craig Steven Williams,,Audubon,1962,825,1137
State House,11,Write-in,,Audubon,0,0,0
State House,11,Jeff Rich,,Carroll,2711,1369,1342
State House,11,Craig Steven Williams,,Carroll,7406,2776,4630
State House,11,Write-in,,Carroll,10,3,7
State House,11,Jeff Rich,,Pottawattamie,331,71,260
State House,11,Craig Steven Williams,,Pottawattamie,730,108,622
State House,11,Write-in,,Pottawattamie,0,0,0
State House,11,Jeff Rich,,Shelby,462,197,265
State House,11,Craig Steven Williams,,Shelby,1283,537,746
State House,11,Write-in,,Shelby,4,0,4
State House,12,Dustin Durbin,,Crawford,1908,858,1050
State House,12,Steven Holt,,Crawford,4401,1578,2823
State House,12,Write-in,,Crawford,7,2,5
State House,12,Dustin Durbin,,Ida,731,282,449
State House,12,Steven Holt,,Ida,2696,748,1948
State House,12,Write-in,,Ida,5,0,5
State House,12,Dustin Durbin,,Shelby,1004,557,447
State House,12,Steven Holt,,Shelby,3172,1455,1717
State House,12,Write-in,,Shelby,6,2,4
State House,13,Rosanne Plante,,Cherokee,284,138,146
State House,13,Travis M Sitzmann,,Cherokee,1260,461,799
State House,13,Parker Hansen,,Cherokee,174,55,119
State House,13,Write-in,,Cherokee,3,2,1
State House,13,Rosanne Plante,,Monona,1072,471,601
State House,13,Travis M Sitzmann,,Monona,2930,846,2084
State House,13,Parker Hansen,,Monona,268,71,197
State House,13,Write-in,,Monona,18,2,16
State House,13,Rosanne Plante,,Plymouth,872,364,508
State House,13,Travis M Sitzmann,,Plymouth,4458,1421,3037
State House,13,Parker Hansen,,Plymouth,179,57,122
State House,13,Write-in,,Plymouth,3,1,2
State House,13,Rosanne Plante,,Woodbury,964,355,609
State House,13,Travis M Sitzmann,,Woodbury,3814,839,2975
State House,13,Parker Hansen,,Woodbury,749,122,627
State House,13,Write-in,,Woodbury,7,1,6
State House,14,Jacob Bossman,,Woodbury,11116,5523,5593
State House,14,Write-in,,Woodbury,285,161,124
State House,15,Benjamin Schauer,,Harrison,2204,747,1457
State House,15,Matt W. Windschitl,,Harrison,5366,1515,3851
State House,15,Write-in,,Harrison,22,10,12
State House,15,Benjamin Schauer,,Pottawattamie,3451,1596,1855
State House,15,Matt W. Windschitl,,Pottawattamie,7429,2662,4767
State House,15,Write-in,,Pottawattamie,9,1,8
State House,16,Candella Foley-Finchem,,Fremont,873,348,525
State House,16,David Sieck,,Fremont,2655,859,1796
State House,16,Write-in,,Fremont,6,0,6
State House,16,Candella Foley-Finchem,,Mills,1966,921,1045
State House,16,David Sieck,,Mills,5775,2267,3508
State House,16,Write-in,,Mills,18,7,11
State House,16,Candella Foley-Finchem,,Pottawattamie,1426,371,1055
State House,16,David Sieck,,Pottawattamie,4446,893,3553
State House,16,Write-in,,Pottawattamie,7,1,6
State House,17,Devon Wood,,Adams,1726,755,971
State House,17,Write-in,,Adams,36,18,18
State House,17,Devon Wood,,Page,2334,1022,1312
State House,17,Write-in,,Page,28,11,17
State House,17,Devon Wood,,Ringgold,2171,906,1265
State House,17,Write-in,,Ringgold,42,22,20
State House,17,Devon Wood,,Taylor,2546,833,1713
State House,17,Write-in,,Taylor,47,11,36
State House,17,Devon Wood,,Union,3861,1635,2226
State House,17,Write-in,,Union,56,27,29
State House,18,Tripp Narup,,Cass,1596,794,802
State House,18,Thomas Jay Moore,,Cass,4814,1772,3042
State House,18,Write-in,,Cass,21,7,14
State House,18,Tripp Narup,,Montgomery,1318,635,683
State House,18,Thomas Jay Moore,,Montgomery,3384,1293,2091
State House,18,Write-in,,Montgomery,13,1,12
State House,18,Tripp Narup,,Page,1024,364,660
State House,18,Thomas Jay Moore,,Page,2967,884,2083
State House,18,Write-in,,Page,12,4,8
State House,19,Roger Petersen,,Pottawattamie,5469,2470,2999
State House,19,Brent Siegrist,,Pottawattamie,7751,2743,5008
State House,19,Write-in,,Pottawattamie,26,15,11
State House,20,Josh Turek,,Pottawattamie,5881,2310,3571
State House,20,James Wassell,,Pottawattamie,5320,1822,3498
State House,20,Write-in,,Pottawattamie,7,0,7
State House,21,Spencer A Waugh,,Marion,2073,1041,1032
State House,21,Brooke Boden,,Marion,3678,1460,2218
State House,21,Write-in,,Marion,9,3,6
