year,vtd_id,office,district,candidate,party,votes
2004,19013013014,PRESIDENT,,,SC,1.000000
2004,19013013014,US SENATE,,,DEM,153.000000
2004,19013013014,US SENATE,,,OTH,15.000000
2004,19013013014,US SENATE,,,REP,467.000000
2004,19013013014,US SENATE,,,SC,0.000000
2004,19013013015,PRESIDENT,,,DEM,373.000000
2004,19013013015,PRESIDENT,,,OTH,3.000000
2004,19013013015,PRESIDENT,,,REP,275.000000
2004,19013013015,PRESIDENT,,,SC,0.000000
2004,19013013015,US SENATE,,,DEM,176.000000
2004,19013013015,US SENATE,,,OTH,13.000000
2004,19013013015,US SENATE,,,REP,449.000000
2004,19013013015,US SENATE,,,SC,0.000000
2004,19013013016,PRESIDENT,,,DEM,430.000000
2004,19013013016,PRESIDENT,,,OTH,11.000000
2004,19013013016,PRESIDENT,,,REP,300.000000
2004,19013013016,PRESIDENT,,,SC,1.000000
2004,19013013016,US SENATE,,,DEM,203.000000
2004,19013013016,US SENATE,,,OTH,16.000000
2004,19013013016,US SENATE,,,REP,508.000000
2004,19013013016,US SENATE,,,SC,0.000000
2004,19013013017,PRESIDENT,,,DEM,311.000000
2004,19013013017,PRESIDENT,,,OTH,6.000000
2004,19013013017,PRESIDENT,,,REP,296.000000
2004,19013013017,PRESIDENT,,,SC,0.000000
2004,19013013017,US SENATE,,,DEM,145.000000
2004,19013013017,US SENATE,,,OTH,18.000000
2004,19013013017,US SENATE,,,REP,407.000000
2004,19013013017,US SENATE,,,SC,0.000000
2004,19013013018,PRESIDENT,,,DEM,615.000000
2004,19013013018,PRESIDENT,,,OTH,7.000000
2004,19013013018,PRESIDENT,,,REP,785.000000
2004,19013013018,PRESIDENT,,,SC,1.000000
2004,19013013018,US SENATE,,,DEM,289.000000
2004,19013013018,US SENATE,,,OTH,26.000000
2004,19013013018,US SENATE,,,REP,1081.000000
2004,19013013018,US SENATE,,,SC,0.000000
2004,19013013019,PRESIDENT,,,DEM,250.000000
2004,19013013019,PRESIDENT,,,OTH,5.000000
2004,19013013019,PRESIDENT,,,REP,325.000000
2004,19013013019,PRESIDENT,,,SC,0.000000
2004,19013013019,US SENATE,,,DEM,124.000000
2004,19013013019,US SENATE,,,OTH,14.000000
2004,19013013019,US SENATE,,,REP,437.000000
2004,19013013019,US SENATE,,,SC,0.000000
2004,19013013020,PRESIDENT,,,DEM,509.000000
2004,19013013020,PRESIDENT,,,OTH,8.000000
2004,19013013020,PRESIDENT,,,REP,723.000000
2004,19013013020,PRESIDENT,,,SC,3.000000
2004,19013013020,US SENATE,,,DEM,193.000000
